Id,RunId,Origin,Destin,FltNum,DepDate,BookedLoad,TgtLoad,TimeRange,dlfBand,ndoBand,anchorFare,MktFare_Min,MktFare_Max,fareOffset,OpenRBD,SellingFare,Channel,criteria,HowDetermined,Backstop,AirlineCode_Min,AirlineCode_Max,FlightNumber_Min,FlightNumber_Max,Variance,StrategyReference,analystName,bookedPlf,startTime,endTime,allocationStatus,endOfDaydlfBand,endOfDayTgtLoad,lastSellingFare,upsell,strategyFare,bookingToday,expectedEndOfDayBooking,expectedEndOfDayLoadFactor,overBookingCount,historicOwnFare,state,timeSectorDrop,gridDrop,marketFaresSummary
281871f6-bfb1-4f5d-8ef0-f4348a0cdf88,Test12345,BOM,DEL,1127,08/01/2023,10.0,170.1,0,0,0,4751,4751,10000,0.0,U9,4764.0,B2C,MIN,Matched and allocated,0.0,6E,6E,6E-2051,6E-2083,-0.8470899470899471,NA,test,5.291005291005291,0:00,23:59,1,NA,NA,NA,NA,4764.0,NA,NA,NA,0.0,NA,NA,NA,NA,MF_Org
a54b64a1-74a2-4e37-a011-08459c46a86b,Test12345,BOM,DEL,1127,08/01/2023,10.0,170.1,0,0,0,4300,4300,10000,0.0,Z3,4310.0,B2B,MIN,Matched and allocated,0.0,6E,6E,6E-6082,6E-5187,-0.8470899470899471,NA,test,5.291005291005291,0:00,23:59,1,NA,NA,NA,NA,4310.0,NA,NA,NA,0.0,NA,NA,NA,NA,MF_Org
58e1b8b2-645a-4458-931d-5ffa5d8b0482,Test12345,BOM,DEL,1127,08/02/2023,10.0,156.87,0,0,1,10000,3800,10000,0.0,Q5,10373.0,B2C,MAX,Matched and allocated,0.0,SG,UK,SG-8191,UK-950,-0.7770899470899472,NA,test,5.291005291005291,0:00,23:59,1,NA,NA,NA,NA,10373.0,NA,NA,NA,0.0,NA,NA,NA,NA,MF_Org
a6146d55-82e4-41a0-8015-eb6b10f186fa,Test12345,BOM,DEL,1127,08/02/2023,10.0,156.87,0,0,1,5100,4729,5100,0.0,Z0,5360.0,B2B,MAX,Matched and allocated,0.0,AI,SG,AI-888,SG-158,-0.7770899470899472,NA,test,5.291005291005291,0:00,23:59,1,NA,NA,NA,NA,5360.0,NA,NA,NA,0.0,NA,NA,NA,NA,MF_Org
c8442727-68e1-4546-b6bf-f806a445dcaf,Test12345,DEL,BOM,1128,08/20/2023,50.0,70.0,0,2,5,5054,5054,8685,2.0,T6,5295.32,B2C,MIN,Matched and allocated,0.0,I5,UK,I5-784,UK-945,-0.1,NA,test,25.0,10:00,17:00,1,NA,NA,NA,NA,5295.32,NA,NA,NA,0.0,NA,NA,NA,NA,MF_Org
07314765-61a6-4bc1-b09b-2fd324575aec,Test12345,DEL,BOM,1128,08/20/2023,50.0,70.0,0,2,5,4000,4000,8353,2.0,Z4,4424.32,B2B,MIN,Matched and allocated,0.0,AI,UK,AI-863,UK-993,-0.1,NA,test,25.0,10:00,17:00,1,NA,NA,NA,NA,4424.32,NA,NA,NA,0.0,NA,NA,NA,NA,MF_Org
0d64bdea-f6c1-45f3-b5d4-f559287347aa,Test12345,DEL,BOM,1128,08/21/2023,50.0,68.0,0,2,5,5054,5054,7687,2.0,T6,5295.32,B2C,MIN,Matched and allocated,0.0,I5,UK,I5-784,UK-941,-0.09,NA,test,25.0,10:00,17:00,1,NA,NA,NA,NA,5295.32,NA,NA,NA,0.0,NA,NA,NA,NA,MF_Org
19537ccd-fb66-48e2-8f09-74b2f98e3015,Test12345,DEL,BOM,1128,08/21/2023,50.0,68.0,0,2,5,4300,4300,10000,2.0,Z2,4974.32,B2B,MIN,Matched and allocated,0.0,AI,6E,AI-863,6E-6092,-0.09,NA,test,25.0,10:00,17:00,1,NA,NA,NA,NA,4974.32,NA,NA,NA,0.0,NA,NA,NA,NA,MF_Org
1b1d8bc3-5415-4350-a3f0-6582df1ebc30,Test12345,DEL,BOM,1128,08/22/2023,30.0,33.0,0,3,5,5054,5054,7687,2.0,Q4,10496.32,B2C,MIN,Matched and allocated - Backstop Hit,10000.0,I5,UK,I5-784,UK-941,-0.03,NA,test,30.0,10:00,17:00,1,NA,NA,NA,NA,10496.32,NA,NA,NA,0.0,NA,NA,NA,NA,MF_Org
7b20398b-df37-4967-9d70-c6194e31746a,Test12345,DEL,BOM,1128,08/22/2023,30.0,33.0,0,3,5,3500,3500,12000,2.0,ZA,3664.32,B2B,MIN,Matched and allocated,0.0,UK,UK,UK-933,UK-995,-0.03,NA,test,30.0,10:00,17:00,1,NA,NA,NA,NA,3664.32,NA,NA,NA,0.0,NA,NA,NA,NA,MF_Org
