Origin,Destin,FltNum,DepDate,BookedLoad,analystName,TgtLoad,bookedPlf,actualbookedPlf,Variance,endOfDayTgtLoad,currentLoadFactor,currentTgtLoad,bookingToday,bookingLastHour,hardAnchorFare,strategyFare,lastSellingFare,profileFare,lastSevenAvgFare,upsell,anchorFare,OpenRBD,SellingFare,Channel,HowDetermined,RunId,MktFare_Min,AirlineCode_Min,FlightNumber_Min,MktFare_Max,AirlineCode_Max,FlightNumber_Max,criteria,fareOffset,TimeRange,startTime,endTime,Backstop,autoBackstop,StrategyReference,dlfBand,endOfDaydlfBand,ndoBand,overBookingCount,recommendedActions,allocationStatus,status,w0Flag
BOM,DEL,1127,08/01/2023,10.0,test,156.87,5.291005291005291,5.291005291005291,-89.70899470899471,179.54999999999998,95.0,179.54999999999998,5,5,4764.0,4665.0,NA,NA,NA,NA,4665.0,V1,4665.0,B2C,Post10_4_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4751,6E,6E-2051,10000,6E,6E-2083,MIN,-2,FR,00:00,23:59,0.0,NA,Strategy_1,4,0,0,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/01/2023,10.0,test,156.87,5.291005291005291,5.291005291005291,-89.70899470899471,179.54999999999998,95.0,179.54999999999998,5,5,4310.0,3859.0,NA,NA,NA,NA,3859.0,Z5,3859.0,B2B,Post10_4_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4300,6E,6E-6082,10000,6E,6E-5187,MIN,-2,FR,00:00,23:59,0.0,NA,Strategy_1,4,0,0,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/02/2023,10.0,test,145.53,5.291005291005291,5.291005291005291,-73.6145947089947,156.87,78.90559999999999,149.131584,5,5,10373.0,4474.0,NA,NA,NA,NA,4474.0,V9,4474.0,B2C,Unable to Match Mkt - B2C allocation at extreme value,Test12345,3800,SG,SG-8191,10000,UK,UK-950,MIN,-2,FR,00:00,23:59,0.0,NA,Strategy_1,5,0,1,0.0,Pull prices DOWN,1,Normal AU allocation,0
BOM,DEL,1127,08/02/2023,10.0,test,145.53,5.291005291005291,5.291005291005291,-73.6145947089947,156.87,78.90559999999999,149.131584,5,5,5360.0,4310.0,NA,NA,NA,NA,4310.0,Z3,4310.0,B2B,Post10_5_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4729,6E,6E-2111,5100,SG,SG-158,MIN,-2,FR,00:00,23:59,0.0,NA,Strategy_1,5,0,1,0.0,NO action required,1,Normal AU allocation,0
DEL,BOM,1128,08/20/2023,50.0,test,68.0,25.0,25.0,-9.317599999999999,70.0,34.3176,68.6352,5,5,5295.32,4845.32,NA,NA,NA,NA,4845.32,U1,4845.32,B2C,Post10_6_1_B_AllocationY_StrategyFare_UpsellN,Test12345,4978,SG,SG-8169,10102,UK,UK-957,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,6,1,5,0.0,NO action required,1,Normal AU allocation,0
DEL,BOM,1128,08/20/2023,50.0,test,68.0,25.0,25.0,-9.317599999999999,70.0,34.3176,68.6352,5,5,4424.32,3834.32,NA,NA,NA,NA,3834.32,Z8,3834.32,B2B,Post10_6_1_B_AllocationY_StrategyFare_UpsellN,Test12345,4000,AI,AI-863,9741,UK,UK-981,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,6,1,5,0.0,NO action required,1,Normal AU allocation,0
DEL,BOM,1128,08/21/2023,50.0,test,66.0,25.0,25.0,-8.317599999999997,68.0,33.3176,66.6352,5,5,5295.32,4845.32,NA,NA,NA,NA,4845.32,U1,4845.32,B2C,Post10_6_1_B_AllocationY_StrategyFare_UpsellN,Test12345,4978,SG,SG-8169,8527,UK,UK-957,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,6,1,5,0.0,NO action required,1,Normal AU allocation,0
DEL,BOM,1128,08/21/2023,50.0,test,66.0,25.0,25.0,-8.317599999999997,68.0,33.3176,66.6352,5,5,4974.32,4074.32,NA,NA,NA,NA,4074.32,Z6,4074.32,B2B,Post10_6_1_B_AllocationY_StrategyFare_UpsellN,Test12345,4300,AI,AI-863,10000,6E,6E-6092,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,6,1,5,0.0,NO action required,1,Normal AU allocation,0
DEL,BOM,1128,08/22/2023,30.0,test,32.0,30.0,30.0,-2.3175999999999974,33.0,32.3176,32.3176,5,5,5295.32,4925.32,NA,NA,NA,NA,4925.32,Q4,10496.32,B2C,Matched and allocated - Backstop Hit,Test12345,4978,SG,SG-8169,10102,UK,UK-981,MIN,-1,AR,07:00,22:00,10000.0,NA,Strategy_1,6,2,5,0.0,Revise Backstop,1,Normal AU allocation,0
DEL,BOM,1128,08/22/2023,30.0,test,32.0,30.0,30.0,-2.3175999999999974,33.0,32.3176,32.3176,5,5,3664.32,3454.32,NA,NA,NA,NA,3454.32,ZD,3454.32,B2B,Post10_6_2_B_AllocationY_StrategyFare_UpsellN,Test12345,3500,UK,UK-933,12000,UK,UK-995,MIN,-1,AR,07:00,22:00,0.0,NA,Strategy_1,6,2,5,0.0,NO action required,1,Normal AU allocation,0
DEL,BOM,1128,08/23/2023,30.0,test,31.0,30.0,30.0,-1.0,32.0,31.317600000000002,31.3176,5,5,5295.32,5015.32,NA,NA,NA,0,5015.32,T9,5015.32,B2C,Post10_6_3_A_AllocationY_Startegy_fare_UpsellN,Test12345,4978,SG,SG-8169,10102,UK,UK-957,MIN,0,AR,07:00,22:00,0.0,NA,Strategy_1,6,3,5,0.0,NO action required,1,Normal AU allocation,0
DEL,BOM,1128,08/23/2023,30.0,test,31.0,30.0,30.0,-1.0,32.0,31.317600000000002,31.3176,5,5,NA,3223.32,60.0,NA,NA,3223.32,NA,NA,NA,B2B,Post10_6_3_C_NA,Test12345,2500,6E,6E-6092,18000,UK,UK-933,MIN,0,AR,07:00,22:00,0.0,NA,Strategy_1,6,3,5,0.0,NO action required,1,Normal AU allocation,0
DEL,BOM,1128,08/24/2023,60.0,test,60.0,30.0,30.0,0.0,62.0,30.3176,60.6352,5,5,5295.32,5015.32,NA,NA,NA,0,5015.32,T9,5015.32,B2C,Post10_6_3_A_AllocationY_Startegy_fare_UpsellN,Test12345,4978,SG,SG-8169,10102,UK,UK-981,MIN,0,AR,07:00,22:00,0.0,NA,Strategy_1,6,3,5,0.0,NO action required,1,Normal AU allocation,0
DEL,BOM,1128,08/24/2023,60.0,test,60.0,30.0,30.0,0.0,62.0,30.3176,60.6352,5,5,NA,3504.32,70.0,NA,NA,3664.32,NA,NA,NA,B2B,Post10_6_3_C_NA,Test12345,3500,6E,6E-824,20000,UK,UK-945,MIN,0,AR,07:00,22:00,0.0,NA,Strategy_1,6,3,5,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/31/2023,40.0,test,47.5862068,20.0,20.0,-3.7931033999999997,48.0,23.85881376016,47.71762752032,5,5,4715.0,4715.0,NA,NA,NA,NA,4715.0,V0,4715.0,B2C,Post10_6_2_B_AllocationY_hardanchorfare_UpsellN,Test12345,4754,6E,6E-2398,5384,UK,UK-930,MIN,-1,AR,07:00,22:00,0.0,NA,Strategy_1,6,2,6,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/31/2023,40.0,test,47.5862068,20.0,20.0,-3.7931033999999997,48.0,23.85881376016,47.71762752032,5,5,4610.0,4610.0,NA,NA,NA,NA,4610.0,Z2,4610.0,B2B,Post10_6_2_B_AllocationY_hardanchorfare_UpsellN,Test12345,4693,SG,SG-8191,15000,AI,AI-442,MIN,-1,AR,07:00,22:00,4300.0,NA,Strategy_1,6,2,6,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,09/01/2023,40.0,test,47.1724138,20.0,20.0,-3.5862069000000005,47.5862068,23.6519172284,47.3038344568,5,5,4564.0,4715.0,NA,NA,NA,NA,4564.0,V3,4564.0,B2C,Post10_6_2_B_AllocationY_hardanchorfare_UpsellN,Test12345,4754,6E,6E-2398,6444,AI,AI-816,MIN,-1,AR,07:00,22:00,0.0,NA,Strategy_1,6,2,6,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,09/01/2023,40.0,test,47.1724138,20.0,20.0,-3.5862069000000005,47.5862068,23.6519172284,47.3038344568,5,5,3859.0,4610.0,NA,NA,NA,NA,3859.0,Z2,4610.0,B2B,Matched and allocated - Backstop Hit,Test12345,4693,SG,SG-158,15328,6E,6E-6813,MIN,-1,AR,07:00,22:00,4500.0,NA,Strategy_1,6,2,6,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,09/02/2023,40.0,test,46.3448276,20.0,20.0,-3.172413800000001,47.1724138,23.30383448856,46.60766897712,5,5,4665.0,4715.0,NA,NA,NA,NA,4665.0,V1,4665.0,B2C,Post10_6_2_B_AllocationY_hardanchorfare_UpsellN,Test12345,4754,6E,6E-2051,7284,AI,AI-816,MIN,-1,AR,07:00,22:00,0.0,NA,Strategy_1,6,2,6,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,09/02/2023,40.0,test,46.3448276,20.0,20.0,-3.172413800000001,47.1724138,23.30383448856,46.60766897712,5,5,4310.0,4610.0,NA,NA,NA,NA,4310.0,Z1,4961.0,B2B,Matched and allocated - Backstop Hit,Test12345,4693,SG,SG-158,18328,6E,6E-6813,MIN,-1,AR,07:00,22:00,4900.0,NA,Strategy_1,6,2,6,0.0,Revise Backstop,1,Normal AU allocation,0
BOM,DEL,1127,09/03/2023,40.0,test,45.5172414,20.0,20.0,-2.7586207000000016,46.3448276,22.89004138856,45.78008277712,5,5,4863.0,4715.0,NA,NA,NA,NA,4715.0,V0,4715.0,B2C,Post10_6_2_B_AllocationY_StrategyFare_UpsellN,Test12345,4754,6E,6E-2139,5709,6E,6E-2113,MIN,-1,AR,07:00,22:00,0.0,NA,Strategy_1,6,2,6,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,09/03/2023,40.0,test,45.5172414,20.0,20.0,-2.7586207000000016,46.3448276,22.89004138856,45.78008277712,5,5,5360.0,4610.0,NA,NA,NA,NA,4610.0,Z1,4961.0,B2B,Matched and allocated - Backstop Hit,Test12345,4693,SG,SG-158,16000,AI,AI-442,MIN,-1,AR,07:00,22:00,4900.0,NA,Strategy_1,6,2,6,0.0,Revise Backstop,1,Normal AU allocation,0
BOM,DEL,1127,09/04/2023,40.0,test,44.6896552,20.0,20.0,-2.3448275999999986,45.5172414,22.47624828856,44.95249657712,5,5,5014.0,4715.0,NA,NA,NA,NA,4715.0,V0,4715.0,B2C,Post10_6_2_B_AllocationY_StrategyFare_UpsellN,Test12345,4754,6E,6E-2398,5909,UK,UK-930,MIN,-1,AR,07:00,22:00,0.0,NA,Strategy_1,6,2,6,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,09/04/2023,40.0,test,44.6896552,20.0,20.0,-2.3448275999999986,45.5172414,22.47624828856,44.95249657712,5,5,NA,NA,120.0,NA,NA,NA,14000,NA,NA,B2B,Market Fare higher than Z0 levels - skipping B2B allocation,Test12345,14000,6E,6E-6813,14000,6E,6E-6813,MIN,-1,AR,07:00,22:00,4900.0,NA,Strategy_1,6,2,6,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/14/2023,0.0,test,75.60000000000001,0.0,0.0,-40.317600000000006,77.49,40.317600000000006,76.200264,5,5,4474.0,4474.0,NA,NA,NA,NA,4474.0,V9,4474.0,B2C,Unable to Match Mkt - B2C allocation at extreme value,Test12345,3900,6E,6E-2326,11000,AI,AI-677,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,6,0,4,0.0,Pull prices DOWN,1,Normal AU allocation,0
BOM,DEL,1127,08/14/2023,0.0,test,75.60000000000001,0.0,0.0,-40.317600000000006,77.49,40.317600000000006,76.200264,5,5,4961.0,4310.0,NA,NA,NA,NA,4310.0,Z3,4310.0,B2B,Post10_6_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4693,SG,SG-158,8216,UK,UK-930,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,6,0,4,0.0,NO action required,1,Normal AU allocation,0
BOM,DEL,1127,08/15/2023,2.0,test,73.71000000000001,1.0582010582010581,1.0582010582010581,-38.25939894179894,75.60000000000001,39.317600000000006,74.310264,5,5,28674.0,4474.0,NA,NA,NA,NA,4474.0,V9,4474.0,B2C,Unable to Match Mkt - B2C allocation at extreme value,Test12345,3000,AI,AI-809,30000,6E,6E-2015,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,6,0,5,0.0,Pull prices DOWN,1,Normal AU allocation,0
BOM,DEL,1127,08/15/2023,2.0,test,73.71000000000001,1.0582010582010581,1.0582010582010581,-38.25939894179894,75.60000000000001,39.317600000000006,74.310264,5,5,NA,4310.0,NA,NA,NA,NA,4310.0,Z3,4310.0,B2B,Post10_6_0_B_AllocationY_StrategyFare_UpsellN,Test12345,4693,SG,SG-8191,6309,UK,UK-930,MIN,-2,AR,07:00,22:00,0.0,NA,Strategy_1,6,0,5,0.0,NO action required,1,Normal AU allocation,0
