Origin,Destination,FlightNumber,DepartureDate,bookedPax,capacity,DepartureTime,Lid,adjustedCapacity,tbf_bookings
BLR,DEL,1359,2023-08-01,8,174,10:00,174,174,0
BLR,DEL,1336,2023-08-02,3,174,10:00,174,174,0
BLR,DEL,1359,2023-08-02,1,174,10:00,174,174,0
BLR,DEL,1359,2023-08-03,3,174,10:00,174,174,0
BLR,DEL,1359,2023-08-04,3,174,10:00,174,174,0
BLR,DEL,1359,2023-08-05,4,174,10:00,174,174,0
BLR,DEL,1359,2023-08-06,3,174,10:00,174,174,0
BLR,DEL,1359,2023-08-07,1,174,10:00,174,174,0
BLR,DEL,1359,2023-08-08,1,174,10:00,174,174,0
BLR,DEL,1359,2023-08-09,2,174,10:00,174,174,0
BLR,DEL,1336,2023-08-09,4,174,10:00,174,174,0
BLR,DEL,1359,2023-08-10,8,174,10:00,174,174,0
BLR,DEL,1359,2023-08-11,6,174,10:00,174,174,0
BLR,DEL,1359,2023-08-12,3,174,10:00,174,174,0
BLR,DEL,1359,2023-08-13,1,174,10:00,174,174,0
BLR,DEL,1359,2023-08-14,2,174,10:00,174,174,0
BLR,DEL,1359,2023-08-15,0,174,10:00,174,174,0
BLR,DEL,1359,2023-08-16,10,174,10:00,174,174,0
BLR,DEL,1336,2023-08-16,2,174,10:00,174,174,0
BLR,DEL,1359,2023-08-18,5,174,10:00,174,174,0
BLR,DEL,1359,2023-08-19,2,174,10:00,174,174,0
BLR,DEL,1359,2023-08-20,2,174,10:00,174,174,0
BLR,DEL,1359,2023-08-21,2,174,10:00,174,174,0
BLR,DEL,1359,2023-08-22,0,174,10:00,174,174,0
BLR,DEL,1359,2023-08-23,2,174,10:00,174,174,0
BLR,DEL,1336,2023-08-23,2,174,10:00,174,174,0
BLR,DEL,1359,2023-08-24,2,174,10:00,174,174,0
BLR,DEL,1359,2023-08-25,4,174,10:00,174,174,0
BLR,DEL,1359,2023-08-26,13,174,10:00,174,174,0
BLR,DEL,1359,2023-08-27,5,174,10:00,174,174,0
BLR,DEL,1359,2023-08-28,27,174,10:00,174,174,0
BLR,DEL,1359,2023-08-29,1,174,10:00,174,174,0
BLR,DEL,1336,2023-08-30,4,174,10:00,174,174,0
BLR,DEL,1359,2023-08-30,16,174,10:00,174,174,0
BLR,DEL,1359,2023-08-31,7,174,10:00,174,174,0
BLR,DEL,1359,2023-09-01,3,174,10:00,174,174,0
BLR,DEL,1359,2023-09-02,42,174,10:00,174,174,0
BLR,DEL,1359,2023-09-03,0,174,10:00,174,174,0
BLR,DEL,1359,2023-09-04,2,174,10:00,174,174,0
BLR,DEL,1359,2023-09-05,2,174,10:00,174,174,0
BLR,DEL,1336,2023-09-06,1,174,10:00,174,174,0
BLR,DEL,1359,2023-09-06,3,174,10:00,174,174,0
BLR,DEL,1359,2023-09-07,0,174,10:00,174,174,0
BLR,DEL,1359,2023-09-08,0,174,10:00,174,174,0
BLR,DEL,1359,2023-09-09,2,174,10:00,174,174,0
BLR,DEL,1359,2023-09-11,0,174,10:00,174,174,0
BLR,DEL,1359,2023-09-12,0,174,10:00,174,174,0
BLR,DEL,1336,2023-09-13,1,174,10:00,174,174,0
BLR,DEL,1359,2023-09-14,0,174,10:00,174,174,0
