sector,startTime,endTime,Month,DOW,channel,0,1,2,3,4,5,6
AMDBLR,2:30:00,7:30:00,April,Friday,B2B,0,3485,3255,3257,3057,0,3867
AMDBLR,2:30:00,7:30:00,April,Friday,B2C,3517,2832,2832,2859,3695,3867,3865
AMDBLR,2:30:00,7:30:00,April,Monday,B2B,2883,2883,3082,3057,3257,3867,3476
AMDBLR,2:30:00,7:30:00,April,Monday,B2C,2762,2762,2701,4067,3966,4668,3602
AMDBLR,2:30:00,7:30:00,April,Saturday,B2B,0,3057,3057,5039,3385,3687,3476
AMDBLR,2:30:00,7:30:00,April,Saturday,B2C,2859,2834,2787,4737,5039,3867,5066
AMDBLR,2:30:00,7:30:00,April,Sunday,B2B,3333,3713,3057,3057,3633,3887,3476
AMDBLR,2:30:00,7:30:00,April,Sunday,B2C,4292,2912,2787,4409,4348,3602,5827
AMDBLR,2:30:00,7:30:00,April,Thursday,B2B,3383,3057,3410,3257,3057,3867,3687
AMDBLR,2:30:00,7:30:00,April,Thursday,B2C,3462,2735,2676,2887,3237,3602,3888
AMDBLR,2:30:00,7:30:00,April,Tuesday,B2B,3299,3299,3360,3057,4067,3257,3476
AMDBLR,2:30:00,7:30:00,April,Tuesday,B2C,2676,2859,2701,2780,3791,3867,4467
AMDBLR,2:30:00,7:30:00,August,Friday,B2B,0,0,0,0,0,0,0
AMDBLR,2:30:00,7:30:00,August,Friday,B2C,0,0,0,0,0,0,0
AMDBLR,2:30:00,7:30:00,August,Monday,B2B,0,0,0,0,0,0,0
AMDBLR,2:30:00,7:30:00,August,Monday,B2C,0,0,0,0,0,0,0
AMDBLR,2:30:00,7:30:00,August,Saturday,B2B,0,0,0,0,0,0,0
AMDBLR,2:30:00,7:30:00,August,Saturday,B2C,0,0,0,0,0,0,0
AMDBLR,2:30:00,7:30:00,August,Sunday,B2B,0,0,0,0,0,0,0
AMDBLR,2:30:00,7:30:00,August,Sunday,B2C,0,0,0,0,0,0,0
AMDBLR,2:30:00,7:30:00,August,Thursday,B2B,0,0,0,0,0,0,0
AMDBLR,2:30:00,7:30:00,August,Thursday,B2C,0,0,0,0,0,0,0
AMDBLR,2:30:00,7:30:00,August,Tuesday,B2B,0,0,0,0,0,0,0
AMDBLR,2:30:00,7:30:00,August,Tuesday,B2C,0,0,0,0,0,0,0
AMDBLR,2:30:00,7:30:00,December,Friday,B2B,0,0,0,0,0,0,0
AMDBLR,2:30:00,7:30:00,December,Friday,B2C,0,0,0,0,0,0,0
AMDBLR,2:30:00,7:30:00,December,Monday,B2B,0,0,0,0,0,0,0
AMDBLR,2:30:00,7:30:00,December,Monday,B2C,0,0,0,0,0,0,0
AMDBLR,2:30:00,7:30:00,December,Saturday,B2B,0,0,0,0,0,0,0
AMDBLR,2:30:00,7:30:00,December,Saturday,B2C,0,0,0,0,0,0,0
AMDBLR,2:30:00,7:30:00,December,Sunday,B2B,0,0,0,0,0,0,0
AMDBLR,2:30:00,7:30:00,December,Sunday,B2C,0,0,0,0,0,0,0
AMDBLR,2:30:00,7:30:00,December,Thursday,B2B,0,0,0,0,0,0,0
AMDBLR,2:30:00,7:30:00,December,Thursday,B2C,0,0,0,0,0,0,0
AMDBLR,2:30:00,7:30:00,December,Tuesday,B2B,0,0,0,0,0,0,0
AMDBLR,2:30:00,7:30:00,December,Tuesday,B2C,0,0,0,0,0,0,0
AMDBLR,2:30:00,7:30:00,February,Friday,B2B,3488,3423,3424,4318,4318,3687,3687
AMDBLR,2:30:00,7:30:00,February,Friday,B2C,4467,4467,5420,4666,5317,5516,5015
AMDBLR,2:30:00,7:30:00,February,Monday,B2B,4087,3887,3887,4318,5317,3687,5561
AMDBLR,2:30:00,7:30:00,February,Monday,B2C,4668,9923,4466,4439,5317,4059,2466
AMDBLR,2:30:00,7:30:00,February,Saturday,B2B,4401,4401,4401,4318,4401,3687,5561
AMDBLR,2:30:00,7:30:00,February,Saturday,B2C,5317,4348,5561,4666,4668,5467,5179
AMDBLR,2:30:00,7:30:00,February,Sunday,B2B,0,5262,5262,5262,6037,5561,5617
AMDBLR,2:30:00,7:30:00,February,Sunday,B2C,6926,14311,14311,6456,6457,4930,5015
AMDBLR,2:30:00,7:30:00,February,Thursday,B2B,4087,3887,4318,4318,4318,5561,3887
AMDBLR,2:30:00,7:30:00,February,Thursday,B2C,5617,4668,4668,4439,4797,5367,3517
AMDBLR,2:30:00,7:30:00,February,Tuesday,B2B,4318,4401,3887,3886,4318,3687,3687
AMDBLR,2:30:00,7:30:00,February,Tuesday,B2C,4467,4467,4162,4467,4668,3851,5015
AMDBLR,2:30:00,7:30:00,January,Friday,B2B,4318,5561,5814,5814,5517,0,0
AMDBLR,2:30:00,7:30:00,January,Friday,B2C,5015,5827,5256,6926,6926,5561,5367
AMDBLR,2:30:00,7:30:00,January,Monday,B2B,4318,5561,5517,5814,5814,5560,0
AMDBLR,2:30:00,7:30:00,January,Monday,B2C,5561,5561,4976,5015,6926,5015,4842
AMDBLR,2:30:00,7:30:00,January,Saturday,B2B,5814,5814,5813,5814,5367,5560,5617
AMDBLR,2:30:00,7:30:00,January,Saturday,B2C,5444,5517,5256,6102,6926,5015,5561
AMDBLR,2:30:00,7:30:00,January,Sunday,B2B,3476,5814,5814,5814,5517,5561,0
AMDBLR,2:30:00,7:30:00,January,Sunday,B2C,6578,7296,4842,5583,6862,5015,4842
AMDBLR,2:30:00,7:30:00,January,Thursday,B2B,5814,5814,5814,5814,5561,5561,0
AMDBLR,2:30:00,7:30:00,January,Thursday,B2C,5827,6554,6231,6926,6244,5015,6926
AMDBLR,2:30:00,7:30:00,January,Tuesday,B2B,3476,4716,3476,5561,5561,5561,0
AMDBLR,2:30:00,7:30:00,January,Tuesday,B2C,5317,5561,5015,5561,6926,5561,5561
AMDBLR,2:30:00,7:30:00,July,Friday,B2B,0,0,0,0,0,0,0
